id,source_id,title,slug,category,collection,series,medium,dimensions,year,price_rub,image,original_file,pdf_page,printed_page,width_px,height_px,format
belaya-skazka,painting-1,Белая сказка,belaya-skazka,Живопись,painting,,"холст, масло",115x100 см,2021,330000,/artworks/painting/01_belaya-skazka_p02.jpeg,images/painting/images/01_belaya-skazka_p02.jpeg,2,,526,605,JPEG
sny,painting-2,Сны,sny,Живопись,painting,,"холст, масло",120x120 см,2017,770000,/artworks/painting/02_sny_p03.jpeg,images/painting/images/02_sny_p03.jpeg,3,,763,763,JPEG
nayada,painting-3,Наяда,nayada,Живопись,painting,,"холст, масло",80x65 см,2016,165000,/artworks/painting/03_nayada_p03.jpeg,images/painting/images/03_nayada_p03.jpeg,3,,431,530,JPEG
krasnaya-gora,painting-4,Красная гора,krasnaya-gora,Живопись,painting,,"холст, масло",120x120 см,2023,385000,/artworks/painting/04_krasnaya-gora_p04.jpeg,images/painting/images/04_krasnaya-gora_p04.jpeg,4,,541,528,JPEG
vyshe-neba,painting-5,Выше неба,vyshe-neba,Живопись,painting,,"холст, масло",120x120 см,2018,385000,/artworks/painting/05_vyshe-neba_p04.jpeg,images/painting/images/05_vyshe-neba_p04.jpeg,4,,526,528,JPEG
vysokogornaya-pastoral,painting-6,Высокогорная пастораль,vysokogornaya-pastoral,Живопись,painting,,"холст, масло",60x85 см,2024,165000,/artworks/painting/06_vysokogornaya-pastoral_p05.jpeg,images/painting/images/06_vysokogornaya-pastoral_p05.jpeg,5,,689,469,JPEG
vertikal,painting-7,Вертикаль,vertikal,Живопись,painting,,"холст, масло",95x40 см,2024,175000,/artworks/painting/07_vertikal_p05.jpeg,images/painting/images/07_vertikal_p05.jpeg,5,,313,749,JPEG
leshch-goryachego-kopcheniya,painting-8,Лещ горячего копчения,leshch-goryachego-kopcheniya,Живопись,painting,,"холст, масло",60x60 см,2024,80000,/artworks/painting/08_leshch-goryachego-kopcheniya_p06.jpeg,images/painting/images/08_leshch-goryachego-kopcheniya_p06.jpeg,6,,485,478,JPEG
hrizantemy-v-polosatoy-vaze,painting-9,Хризантемы в полосатой вазе,hrizantemy-v-polosatoy-vaze,Живопись,painting,,"холст, масло",40x60 см,2025,50000,/artworks/painting/09_hrizantemy-v-polosatoy-vaze_p06.png,images/painting/images/09_hrizantemy-v-polosatoy-vaze_p06.png,6,,1022,1280,PNG
dve-vody,painting-10,Две воды,dve-vody,Живопись,painting,,"холст, масло",40x60 см,2024,55000,/artworks/painting/10_dve-vody_p07.jpeg,images/painting/images/10_dve-vody_p07.jpeg,7,,643,419,JPEG
